id,ja,en,unit,level_jp,reason
unit-rate,単位あたりの量,unit rate,us-pre-algebra-ratios-and-percents,小学校,小学校範囲（単位量あたりの大きさ・小5）。v1 は中1 から（PLAN 4）
foot,フィート,foot,us-pre-algebra-ratios-and-percents,—,数学用語ではない（ヤード・ポンド法）。conventions の日米慣習差で扱う
mile,マイル,mile,us-pre-algebra-ratios-and-percents,—,数学用語ではない（ヤード・ポンド法）。conventions の日米慣習差で扱う
sales-tax,税込み価格,sales tax,us-pre-algebra-ratios-and-percents,—,数学用語ではない（米国の文章題の生活文脈）。conventions で扱う
tip,チップ,tip,us-pre-algebra-ratios-and-percents,—,数学用語ではない（米国の文章題の生活文脈）。conventions で扱う
rationalizing-substitution,有理化置換,rationalizing substitution,us-calculus-2-techniques-of-integration,大学,beyond-v1
differential-operator,微分作用素,differential operator,us-calculus-1-derivatives,大学,beyond-v1
implicit-function-theorem,陰関数の定理,implicit function theorem,us-calculus-1-derivatives,大学,beyond-v1
game,ゲーム,game,jp-suugaku-a-suugaku-to-ningen-no-katsudou,数A,数学用語ではない（数学と人間の活動の題材。ゲームの必勝法などは個別の語で扱う）
puzzle,パズル,puzzle,jp-suugaku-a-suugaku-to-ningen-no-katsudou,数A,数学用語ではない（数学と人間の活動の題材）
protractor,分度器,protractor,us-geometry-foundations,大学,小学校範囲（分度器・小4）。v1 は中1 から（PLAN 4）
time,時間,time,jp-chuugaku-1-moji-to-shiki,中1,数学用語ではない（速さの文章題の量。速さ・道のりの語で扱う）
relationship,関係,relationship,jp-chuugaku-1-moji-to-shiki,中1,数学用語ではない（日常語の「関係」。数量の関係は比例・関数・等式などの個別の語で扱う）
braking-distance,制動距離,braking distance,jp-chuugaku-3-kansuu-y-ax2,中3,数学用語ではない（y = ax² の例題の題材）
discount,値引き,discount,us-pre-algebra-ratios-and-percents,大学,数学用語ではない（米国の文章題の生活文脈）。conventions で扱う（sales tax・tip と同じ）
