old_id,new_id,action
equation-houteishiki,equation,merged
variable-hanpirei,variable,merged
multiply-insuubunkai,multiply,merged
simplify-heihoukon,simplify,merged
simplify-equations,simplify,merged
pythagorean-theorem-alt,pythagorean-theorem,merged
polynomial-shiki,polynomial,merged
factor-out-the-common-factor-shiki,factor-out-the-common-factor,merged
element-alt,element,merged
x-intercept-kansuu,x-intercept,merged
x-intercept-functions,x-intercept,merged
sine-katakana,sine,merged
cosine-katakana,cosine,merged
tangent-katakana,tangent,merged
find-the-angle-keiryou,find-the-angle,merged
find-the-angle-seishitsu,find-the-angle,merged
measure-of-center-bunseki,measure-of-center,merged
angle-bisector-theorem-seishitsu,angle-bisector-theorem,merged
coordinates-katsudou,coordinates,merged
expansion-shoumei,expansion,merged
compare-shoumei,compare,merged
compare-coefficients-shoumei,compare-coefficients,merged
midpoint-houteishiki,midpoint,merged
centroid-houteishiki,centroid,merged
equation-of-a-line-houteishiki,equation-of-a-line,merged
parallel-lines-houteishiki,parallel-lines,merged
find-the-equation-houteishiki,find-the-equation,merged
intersect-houteishiki,intersect,merged
trigonometric-identities-kansuu,trigonometric-identities,merged
solve-for-theta-kansuu,solve-for-theta,merged
increasing-taisuu,increasing,merged
decreasing-taisuu,decreasing,merged
limit-kangae,limit,merged
local-maximum-alt,local-maximum,merged
local-minimum-alt,local-minimum,merged
rate-of-change-kangae,rate-of-change,merged
point-of-tangency-kangae,point-of-tangency,merged
geometric-mean-similarity,geometric-mean,merged
mean-suisoku,mean,merged
population-mean-suisoku,population-mean,merged
optimization-seikatsu,optimization,merged
parameter-bibun,parameter,merged
arc-length-circles,arc-length,merged
substitute-sekibun,substitute,merged
nth-root-heimen,nth-root,merged
rotation-heimen,rotation,merged
sketch-the-curve-heimen,sketch-the-curve,merged
distribute-equations,distribute,merged
evaluate-equations,evaluate,merged
solution-set-equations,solution-set,merged
function-notation-functions,function-notation,merged
domain-and-range-functions,domain-and-range,merged
